chinese,chinese_tw,english,category,subcategory,notes
练气,練氣,Qi Refinement,cultivation,realm,First realm - refining qi
筑基,築基,Foundation Establishment,cultivation,realm,Building the foundation
金丹,金丹,Core Formation,cultivation,realm,Forming the golden core
元婴,元嬰,Nascent Soul,cultivation,realm,Nascent soul emerges
前期,前期,Early Stage,cultivation,stage,
中期,中期,Middle Stage,cultivation,stage,
后期,後期,Late Stage,cultivation,stage,
普通,普通,Normal,rarity,,Common items/traits
稀有,稀有,Rare,rarity,,Uncommon items/traits
超稀有,超稀有,Super Rare,rarity,,Rare items/traits
传说,傳說,Legendary,rarity,,Legendary items/traits
金,金,Metal,element,,Also: Gold
木,木,Wood,element,,
水,水,Water,element,,
火,火,Fire,element,,
土,土,Earth,element,,
冰,冰,Ice,element,,Extended element
风,風,Wind,element,,Extended element
暗,暗,Dark,element,,Extended element
雷,雷,Thunder,element,,Also: Lightning
邪,邪,Evil,element,,Dark arts attribute
金灵根,金靈根,Metal Spiritual Root,root,,
木灵根,木靈根,Wood Spiritual Root,root,,
水灵根,水靈根,Water Spiritual Root,root,,
火灵根,火靈根,Fire Spiritual Root,root,,
土灵根,土靈根,Earth Spiritual Root,root,,
天灵根,天靈根,Heavenly Spiritual Root,root,,Rare - all-element affinity
雷灵根,雷靈根,Thunder Spiritual Root,root,,
冰灵根,冰靈根,Ice Spiritual Root,root,,
风灵根,風靈根,Wind Spiritual Root,root,,
暗灵根,暗靈根,Dark Spiritual Root,root,,
东,東,East,direction,,
南,南,South,direction,,
西,西,West,direction,,
北,北,North,direction,,
正,正,Righteous,alignment,,Orthodox sects
中立,中立,Neutral,alignment,,
邪,邪,Evil,alignment,,Demonic/Unorthodox
明心剑宗,明心劍宗,Bright Heart Sword Sect,sect,name,Sword cultivation specialists
百兽宗,百獸宗,Hundred Beasts Sect,sect,name,Beast taming specialists
水镜宗,水鏡宗,Water Mirror Sect,sect,name,Divination and foresight
冥王宗,冥王宗,Underworld King Sect,sect,name,Death and netherworld arts
朱勾宗,朱勾宗,Crimson Hook Sect,sect,name,Assassination and hidden weapons
合欢宗,合歡宗,Joy Union Sect,sect,name,Dual cultivation specialists
镇魂宗,鎮魂宗,Soul Suppression Sect,sect,name,Exorcism and soul arts
幽魂噬影宗,幽魂噬影宗,Phantom Shadow Sect,sect,name,Stealth and shadow arts
千帆城,千帆城,Thousand Sails City,sect,name,Artifact crafting and commerce
妙化宗,妙化宗,Mystic Harmony Sect,sect,name,Sound-based cultivation
回玄宗,回玄宗,Returning Mystery Sect,sect,name,Formation specialists
不夜城,不夜城,Nightless City,sect,name,Defense and longevity
天行健宗,天行健宗,Heavenly Vigor Sect,sect,name,Righteous qi cultivation
噬魔宗,噬魔宗,Demon Devouring Sect,sect,name,Demonic cultivation - plunder
掌门,掌門,Sect Master,sect,rank,Also: Sect Leader
长老,長老,Elder,sect,rank,
内门弟子,內門弟子,Inner Disciple,sect,rank,
外门弟子,外門弟子,Outer Disciple,sect,rank,
弟子,弟子,Disciple,sect,rank,Generic
谷主,谷主,Valley Master,sect,rank,Hundred Beasts Sect
供奉,供奉,Grand Elder,sect,rank,Honorary position
镜主,鏡主,Mirror Master,sect,rank,Water Mirror Sect
殿主,殿主,Hall Master,sect,rank,Underworld King Sect
楼主,樓主,Tower Master,sect,rank,Crimson Hook Sect
宫主,宮主,Palace Master,sect,rank,Joy Union Sect
住持,住持,Abbot,sect,rank,Soul Suppression Sect
门主,門主,Gate Master,sect,rank,Phantom Shadow Sect
城主,城主,City Lord,sect,rank,Thousand Sails City / Nightless City
连霞山,連霞山,Lianxia Mountain,sect,headquarters,Bright Heart Sword Sect
玄灵洞,玄靈洞,Mysterious Spirit Cave,sect,headquarters,Hundred Beasts Sect
碧波湖,碧波湖,Azure Wave Lake,sect,headquarters,Water Mirror Sect
七鬼角,七鬼角,Seven Ghost Horns,sect,headquarters,Underworld King Sect - Island archipelago
明玉山,明玉山,Bright Jade Mountain,sect,headquarters,Crimson Hook Sect
桃花岛,桃花島,Peach Blossom Island,sect,headquarters,Joy Union Sect
落魂海,落魂海,Soul-Calming Sea,sect,headquarters,Soul Suppression Sect
鬼门湖,鬼門湖,Ghost Gate Lake,sect,headquarters,Phantom Shadow Sect
天星海,天星海,Celestial Star Sea,sect,headquarters,Thousand Sails City - Floating island
